,Nazwa stanowiska,Nazwa firmy,Lokalizacja,Wynagrodzenie,Opis stanowiska
176,Data Scientist/Quantitative Analyst,Public Health England,London,Brak danych,Data Scientist and Analyst. Public Health Data Science. As a Public Health Data Scientist and Analyst you will be part of a dynamic team responsible for...
177,Data Scientist - Electricity Distribution,Morgan Stanley,Birkenhead,Brak danych,Ability to work with data including rapid prototyping and coding skills using common data science tools (i.e. Experience building complex data visualizations in...
178,Data Scientist – Model Validation,REPLY,Glasgow,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
179,Graduate Data Scientist,REPLY,Norwich,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
180,Data Scientist,Pro-Quest Resourcing,Manchester,Brak danych,"They are recruiting for a Junior Data Scientist, if you like the idea of using data for the good of others then please keep reading...."
181,Data Scientist,Lloyds Banking Group,London SE1,Brak danych,And in joining as a Data Scientist in the Applied Science team you'll find yourself:. We're keen to speak to established industry-experienced Data Scientists -...
182,Data Scientist/Senior Data Scientist PT FT and jobshare,Crowder Consulting,Glasgow,Brak danych,"Graduate Data Scientist. All applications for this Graduate Data Scientist vacancy are to be submitted via email, and strictly no agency calls or agency CV..."
183,Prinicpal Data Scientist,Barclays,United Kingdom,Brak danych,"Data Scientist. Data Scientist - 90235127. As a key member of this team, you will work alongside other Data Scientists, Data Engineers, A.I...."
184,"Data Scientist Consultant / Senior Consultant, Finance, Consulting, London",Williams Lea,United Kingdom,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
185,Quantitative Researcher - Data Scientist,Welsh Water,West Yorkshire,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
186,Data Scientist,East of England Co-operative Society,London,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
187,Data Scientist,GoCompare,Birkenhead,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
188,Junior Data Scientist,Veea Group,Glasgow,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
189,Data Scientist,NetRev,Norwich,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
190,Data Scientist,Indeed Prime,Norwich,Brak danych,Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles. How Indeed Prime Works....
192,Junior Data Scientist,DeepReason.ai,London,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
193,Data Scientist - Wind Energy,Oldbaum Services Ltd,London,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
194,Data Scientist at Oxford AI startup,The University of Manchester,Edinburgh,Brak danych,"The role of Data Scientist will involve assessing data quality, preparing datasets for researchers and, supporting systems to share data and analysis..."
195,Data Scientist,Public Health England,United Kingdom,Brak danych,Data Scientist and Analyst. Public Health Data Science. As a Public Health Data Scientist and Analyst you will be part of a dynamic team responsible for...
197,Senior Data Scientist,REPLY,London,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
198,Data Scientist,REPLY,Crawley,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
199,IT Trainee Associate,Pro-Quest Resourcing,Manchester,Brak danych,"They are recruiting for a Junior Data Scientist, if you like the idea of using data for the good of others then please keep reading...."
200,Analytics Data Scientist,Lloyds Banking Group,Norwich,Brak danych,And in joining as a Data Scientist in the Applied Science team you'll find yourself:. We're keen to speak to established industry-experienced Data Scientists -...
201,Data Science Intern,Crowder Consulting,United Kingdom,Brak danych,"Graduate Data Scientist. All applications for this Graduate Data Scientist vacancy are to be submitted via email, and strictly no agency calls or agency CV..."
202,Process Development Scientist,Barclays,London,Brak danych,"Data Scientist. Data Scientist - 90235127. As a key member of this team, you will work alongside other Data Scientists, Data Engineers, A.I...."
203,Data Scientist,Williams Lea,London,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
204,Senior Data Scientist,Welsh Water,Edinburgh,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
205,Data Scientist,East of England Co-operative Society,United Kingdom,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
206,DATA SCIENTIST,GoCompare,London,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
207,Apprentice Data Scientist - 10010685,Veea Group,London,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
208,Graduate / Junior Data Scientist,NetRev,Crawley,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
209,Graduate / Junior Data Scientist,Indeed Prime,Manchester,Brak danych,Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles. How Indeed Prime Works....
211,Data Scientist - Wind Energy,DeepReason.ai,United Kingdom,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
212,Junior Data Scientist,Oldbaum Services Ltd,London,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
213,DATA SCIENTIST,The University of Manchester,London,Brak danych,"The role of Data Scientist will involve assessing data quality, preparing datasets for researchers and, supporting systems to share data and analysis..."
214,Senior Data Scientist,Public Health England,Edinburgh,Brak danych,Data Scientist and Analyst. Public Health Data Science. As a Public Health Data Scientist and Analyst you will be part of a dynamic team responsible for...
215,Data Scientist at Oxford AI startup,Morgan Stanley,United Kingdom,Brak danych,Ability to work with data including rapid prototyping and coding skills using common data science tools (i.e. Experience building complex data visualizations in...
216,Data Scientist,REPLY,London,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
218,"DATA SCIENTIST, PRODUCT – £640 PD – LONDON",Pro-Quest Resourcing,Crawley,Brak danych,"They are recruiting for a Junior Data Scientist, if you like the idea of using data for the good of others then please keep reading...."
219,Fraud & Risk Analyst - Data Scientist -,Lloyds Banking Group,Manchester,Brak danych,And in joining as a Data Scientist in the Applied Science team you'll find yourself:. We're keen to speak to established industry-experienced Data Scientists -...
220,Data scientist – Biological imaging,Crowder Consulting,Norwich,Brak danych,"Graduate Data Scientist. All applications for this Graduate Data Scientist vacancy are to be submitted via email, and strictly no agency calls or agency CV..."
222,Internship - Embedded Software,Williams Lea,London,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
223,Data Scientist,Welsh Water,London,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
224,Senior Data Scientist,East of England Co-operative Society,Edinburgh,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
225,Data Scientist at Oxford AI startup,GoCompare,United Kingdom,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
226,Data Scientist,Veea Group,London,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
227,Apprentice Data Scientist - 10010685,NetRev,London,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
228,Data Scientist,Indeed Prime,Crawley,Brak danych,Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles. How Indeed Prime Works....
229,Data Scientist - Wind Energy,Williams Lea,Manchester,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
230,Graduate / Junior Data Scientist,DeepReason.ai,Norwich,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
233,Data Scientist,Public Health England,London,Brak danych,Data Scientist and Analyst. Public Health Data Science. As a Public Health Data Scientist and Analyst you will be part of a dynamic team responsible for...
234,Data Scientist / Software Developer,Morgan Stanley,Edinburgh,Brak danych,Ability to work with data including rapid prototyping and coding skills using common data science tools (i.e. Experience building complex data visualizations in...
236,Data scientist – Biological imaging,REPLY,London,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
237,Senior Data Scientist,Pro-Quest Resourcing,London,Brak danych,"They are recruiting for a Junior Data Scientist, if you like the idea of using data for the good of others then please keep reading...."
238,Machine Learning Engineer / Data Scientist,Lloyds Banking Group,Crawley,Brak danych,And in joining as a Data Scientist in the Applied Science team you'll find yourself:. We're keen to speak to established industry-experienced Data Scientists -...
239,Data Scientist,Crowder Consulting,Manchester,Brak danych,"Graduate Data Scientist. All applications for this Graduate Data Scientist vacancy are to be submitted via email, and strictly no agency calls or agency CV..."
240,Data Scientist,Barclays,Norwich,Brak danych,"Data Scientist. Data Scientist - 90235127. As a key member of this team, you will work alongside other Data Scientists, Data Engineers, A.I...."
241,Data Analyst,Williams Lea,United Kingdom,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
243,DATA SCIENTIST,East of England Co-operative Society,London,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
244,Junior Data Scientist,GoCompare,Edinburgh,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
248,Data Scientist,Williams Lea,Crawley,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
251,Data Scientist at Oxford AI startup,The University of Manchester,United Kingdom,Brak danych,"The role of Data Scientist will involve assessing data quality, preparing datasets for researchers and, supporting systems to share data and analysis..."
254,Data Scientist,REPLY,Edinburgh,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
255,Data Engineer/Scientist,REPLY,United Kingdom,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
256,Data Scientist (Social Media Manipulation),Pro-Quest Resourcing,London,Brak danych,"They are recruiting for a Junior Data Scientist, if you like the idea of using data for the good of others then please keep reading...."
257,Data Scientist (Commercial),Lloyds Banking Group,London,Brak danych,And in joining as a Data Scientist in the Applied Science team you'll find yourself:. We're keen to speak to established industry-experienced Data Scientists -...
258,Graduate Data Scientist,Crowder Consulting,Crawley,Brak danych,"Graduate Data Scientist. All applications for this Graduate Data Scientist vacancy are to be submitted via email, and strictly no agency calls or agency CV..."
259,Cathode Research Scientist,Barclays,Manchester,Brak danych,"Data Scientist. Data Scientist - 90235127. As a key member of this team, you will work alongside other Data Scientists, Data Engineers, A.I...."
261,"Healthcare Data Scientist, Predictive Analytics (RWAS)",Welsh Water,United Kingdom,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
262,Graduate / Junior Data Scientist,East of England Co-operative Society,London,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
264,Junior Data Scientist,Veea Group,Edinburgh,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
265,Senior Data Scientist,NetRev,United Kingdom,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
266,Data Scientist,Indeed Prime,London,Brak danych,Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles. How Indeed Prime Works....
267,Data Scientist - Wind Energy,Williams Lea,London,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
268,Data Scientist at Oxford AI startup,DeepReason.ai,Crawley,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
269,Graduate / Junior Data Scientist,Oldbaum Services Ltd,Manchester,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
271,DATA SCIENTIST,Public Health England,United Kingdom,Brak danych,Data Scientist and Analyst. Public Health Data Science. As a Public Health Data Scientist and Analyst you will be part of a dynamic team responsible for...
273,"Healthcare Data Scientist, Predictive Analytics (RWAS)",REPLY,London,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
274,"Data Scientist, FinCrime · Screening",REPLY,Edinburgh,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
275,Senior Data Scientist,Pro-Quest Resourcing,United Kingdom,Brak danych,"They are recruiting for a Junior Data Scientist, if you like the idea of using data for the good of others then please keep reading...."
276,Data Scientist in Machine Learning and AI,Lloyds Banking Group,London,Brak danych,And in joining as a Data Scientist in the Applied Science team you'll find yourself:. We're keen to speak to established industry-experienced Data Scientists -...
278,Data Scientist,Barclays,Crawley,Brak danych,"Data Scientist. Data Scientist - 90235127. As a key member of this team, you will work alongside other Data Scientists, Data Engineers, A.I...."
279,Genomic Analysis and Implementation Scientist,Williams Lea,Manchester,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
280,Data Scientist/Statistician,Welsh Water,Norwich,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
282,Junior Data Scientist,GoCompare,London,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
283,Senior Data Scientist,Veea Group,London,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
284,Apprentice Data Scientist - 10010685,NetRev,Edinburgh,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
285,Data Scientist at Oxford AI startup,Indeed Prime,United Kingdom,Brak danych,Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles. How Indeed Prime Works....
287,Data Scientist,DeepReason.ai,London,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
288,Data Scientist,Oldbaum Services Ltd,Crawley,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
289,Data Scientist,The University of Manchester,Manchester,Brak danych,"The role of Data Scientist will involve assessing data quality, preparing datasets for researchers and, supporting systems to share data and analysis..."
290,Junior Data Scientist,Public Health England,Norwich,Brak danych,Data Scientist and Analyst. Public Health Data Science. As a Public Health Data Scientist and Analyst you will be part of a dynamic team responsible for...
292,Divisional process optimisation scientist,REPLY,London,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
293,Data Verification and Documentation Group Scientist,REPLY,London,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
294,Data Scientist/ Analyst,Pro-Quest Resourcing,Edinburgh,Brak danych,"They are recruiting for a Junior Data Scientist, if you like the idea of using data for the good of others then please keep reading...."
295,Data Scientist,Lloyds Banking Group,United Kingdom,Brak danych,And in joining as a Data Scientist in the Applied Science team you'll find yourself:. We're keen to speak to established industry-experienced Data Scientists -...
297,Quantitative Statistical Analyst,Barclays,London,Brak danych,"Data Scientist. Data Scientist - 90235127. As a key member of this team, you will work alongside other Data Scientists, Data Engineers, A.I...."
298,Biomedical Support Worker - Clinical Blood Sciences,Williams Lea,Crawley,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
299,Data Scientist (UK),Welsh Water,Manchester,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
300,Data Scientist,East of England Co-operative Society,Norwich,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
301,Apprentice Data Scientist - 10010685,GoCompare,United Kingdom,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
302,DATA SCIENTIST,Veea Group,London,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
303,Data Scientist,NetRev,London,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
304,Data Scientist at Oxford AI startup,Indeed Prime,Edinburgh,Brak danych,Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles. How Indeed Prime Works....
308,Data Scientist,The University of Manchester,Crawley,Brak danych,"The role of Data Scientist will involve assessing data quality, preparing datasets for researchers and, supporting systems to share data and analysis..."
309,Junior Data Scientist,Public Health England,Manchester,Brak danych,Data Scientist and Analyst. Public Health Data Science. As a Public Health Data Scientist and Analyst you will be part of a dynamic team responsible for...
310,Data Scientist - Senior,Morgan Stanley,Norwich,Brak danych,Ability to work with data including rapid prototyping and coding skills using common data science tools (i.e. Experience building complex data visualizations in...
311,Senior Research Scientist - Cell Biology - Precise Genome Editing,REPLY,United Kingdom,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
313,Data Scientist,Pro-Quest Resourcing,London,Brak danych,"They are recruiting for a Junior Data Scientist, if you like the idea of using data for the good of others then please keep reading...."
314,Precision Health Data Scientist,Lloyds Banking Group,Edinburgh,Brak danych,And in joining as a Data Scientist in the Applied Science team you'll find yourself:. We're keen to speak to established industry-experienced Data Scientists -...
315,Data Scientist,Crowder Consulting,United Kingdom,Brak danych,"Graduate Data Scientist. All applications for this Graduate Data Scientist vacancy are to be submitted via email, and strictly no agency calls or agency CV..."
316,Data Scientist - Causal Inference,Barclays,London,Brak danych,"Data Scientist. Data Scientist - 90235127. As a key member of this team, you will work alongside other Data Scientists, Data Engineers, A.I...."
318,Healthcare Data Scientist Consultant,Welsh Water,Crawley,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
319,Apprentice Data Scientist - 10010685,East of England Co-operative Society,Manchester,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
321,DATA SCIENTIST,Veea Group,United Kingdom,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
324,Data Scientist - Wind Energy,Williams Lea,Edinburgh,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
325,Data Scientist at Oxford AI startup,DeepReason.ai,United Kingdom,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
326,Graduate / Junior Data Scientist,Oldbaum Services Ltd,London,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
328,DATA SCIENTIST,Public Health England,Crawley,Brak danych,Data Scientist and Analyst. Public Health Data Science. As a Public Health Data Scientist and Analyst you will be part of a dynamic team responsible for...
329,Data Scientist (Research),Morgan Stanley,Manchester,Brak danych,Ability to work with data including rapid prototyping and coding skills using common data science tools (i.e. Experience building complex data visualizations in...
330,Environmental Data Scientist,REPLY,Norwich,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
331,SAP Data Scientist,REPLY,United Kingdom,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
333,Data/Software Engineer (KTP Associate),Lloyds Banking Group,London,Brak danych,And in joining as a Data Scientist in the Applied Science team you'll find yourself:. We're keen to speak to established industry-experienced Data Scientists -...
334,Data Scientist - UK,Crowder Consulting,Edinburgh,Brak danych,"Graduate Data Scientist. All applications for this Graduate Data Scientist vacancy are to be submitted via email, and strictly no agency calls or agency CV..."
335,Data Scientist/Senior Data Scientist PT FT and jobshare,Barclays,United Kingdom,Brak danych,"Data Scientist. Data Scientist - 90235127. As a key member of this team, you will work alongside other Data Scientists, Data Engineers, A.I...."
336,DATA SCIENTIST,Williams Lea,London,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
337,Junior or Graduate Data Scientist,Welsh Water,London,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
338,Intern - Data Analyst,East of England Co-operative Society,Crawley,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
340,Senior Data Scientist,Veea Group,Norwich,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
342,Data Scientist at Oxford AI startup,Indeed Prime,London,Brak danych,Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles. How Indeed Prime Works....
344,Data Scientist,DeepReason.ai,Edinburgh,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
345,Data Scientist,Oldbaum Services Ltd,United Kingdom,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
347,Junior Data Scientist,Public Health England,London,Brak danych,Data Scientist and Analyst. Public Health Data Science. As a Public Health Data Scientist and Analyst you will be part of a dynamic team responsible for...
348,Data Scientist - Refinitiv Labs,Morgan Stanley,Crawley,Brak danych,Ability to work with data including rapid prototyping and coding skills using common data science tools (i.e. Experience building complex data visualizations in...
349,Data Scientist,REPLY,Manchester,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
350,Football Data Scientist,REPLY,Norwich,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
351,Research Data Scientist,Pro-Quest Resourcing,United Kingdom,Brak danych,"They are recruiting for a Junior Data Scientist, if you like the idea of using data for the good of others then please keep reading...."
352,Data Scientist,Lloyds Banking Group,London,Brak danych,And in joining as a Data Scientist in the Applied Science team you'll find yourself:. We're keen to speak to established industry-experienced Data Scientists -...
353,Assistant Scientist 1,Crowder Consulting,London,Brak danych,"Graduate Data Scientist. All applications for this Graduate Data Scientist vacancy are to be submitted via email, and strictly no agency calls or agency CV..."
354,Data Scientist,Barclays,Edinburgh,Brak danych,"Data Scientist. Data Scientist - 90235127. As a key member of this team, you will work alongside other Data Scientists, Data Engineers, A.I...."
356,Data Scientist / Operational Research Specialist,Welsh Water,London,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
357,Data Scientist - Sports Trading,East of England Co-operative Society,London,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
358,Apprentice Data Scientist - 10010685,GoCompare,Crawley,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
363,Data Scientist at Oxford AI startup,Micro Focus,London,Brak danych,"Data Scientist. Data scientists will be working with a team of technical experts on the development of a scalable, real time, big data analytics solutions with..."
364,Junior Data Scientist,Williams Lea,Edinburgh,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
366,Apprentice Data Scientist - 10010685,East of England Co-operative Society,London,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
368,Data scientist,"change, grow, live",Crawley,Brak danych,We are expanding our information team with the recruitment of a Junior Data Scientist who will play an instrumental role in transforming our analytical...
369,Data Scientist,Ubisoft,Manchester,Brak danych,Data visualisation:. Undertake data analysis tasks under the supervision of another Data Analyst. Comfortable with turning raw data into understandable insights...
370,Senior Data Scientist,Lloyds UK,Norwich,Brak danych,Trouble-shoot data anomalies. Data modelling skills are required in order to manipulate data and undertake advanced statistical analysis....
371,NLP Data Scientist,Quotient Limited,United Kingdom,Brak danych,Ability to analyse and interpret complex data produced in studies and write reports with relevant. The main responsibilities will include:....
372,Research Scientist (Modelling and Data Analytics),PRA Health Sciences,London,Brak danych,"Clinical Data Scientist. The Clinical Data Scientist will assess trial compliance, perform trending analysis, exploratory data reviews and report findings to..."
373,Data Scientist,Mimecast,London,Brak danych,Junior Data Scientist – Mimecast CityPoint London. Data visualisation. Big Data platforms. Commercial or open source data analysis tools....
374,"Data Scientist, Economist",Deutsche Bank,Edinburgh,Brak danych,Risk Data Scientist. Working on Data Science infrastructure to support AI and ML. The Risk Data Science team is a new group formed recently to address Data...
375,Analytical Scientist (Radiochemistry Data Interpretation),Virgin Holidays,United Kingdom,Brak danych,Do you get excited about data sets? Like to make this data live on in your vision? We would love you to have an awareness of cloud infrastructure and...
376,"Data Scientist, Bioinformatics (BI/0619)",Veea Group,London,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
377,Graduate / Junior Data Scientist,GoCompare,London,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
378,DATA SCIENTIST,NetRev,Crawley,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
379,Data Scientist,Welsh Water,Manchester,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
380,Data Scientist,Oldbaum Services Ltd,Exeter,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
381,Data Scientist,DeepReason.ai,Southampton,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
382,Apprentice Data Scientist - 10010685,Micro Focus,United Kingdom,Brak danych,"Data Scientist. Data scientists will be working with a team of technical experts on the development of a scalable, real time, big data analytics solutions with..."
383,DATA SCIENTIST,Williams Lea,Manchester,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
385,"Data Scientist, Bioinformatics (BI/0619)",East of England Co-operative Society,England,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
386,Development Scientist,Williams Lea,United Kingdom,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
387,Analytical Scientist in Statistical Bioinformatics,"change, grow, live",Cheltenham,Brak danych,We are expanding our information team with the recruitment of a Junior Data Scientist who will play an instrumental role in transforming our analytical...
388,Data Scientist: Analytical Data – Infrastructure,Ubisoft,United Kingdom,Brak danych,Data visualisation:. Undertake data analysis tasks under the supervision of another Data Analyst. Comfortable with turning raw data into understandable insights...
